item,title,director,year
1,Soldiers Of The Cross,Joseph Perry,1900
1,Soldiers Of The Cross,Herbert Booth,1900
2,The Story Of The Kelly Gang,Charles Tait,1906
3,Eureka Stockade,George Cornwell,1907
3,Eureka Stockade,Arthur Cornwell,1907
4,Robbery Under Arms,Charles MacMahon,1907
5,For The Term Of His Natural Life,Charles MacMahon,1908
6,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger",S. A. Fitzgerald,1910
7,"The Squatter's Daughter, Or The Land Of The Wattle",Bert Bailey,1910
8,Thunderbolt,John Gavin,1910
9,Moonlite,John Gavin,1910
9,Captain Moonlite,John Gavin,1910
10,It Is Never Too Late To Mend,W. J. Lincoln,1911
11,Ben Hall And His Gang,John Gavin,1911
12,"Captain Midnight, The Bush King",Alfred Rolfe,1911
13,"Frank Gardiner, The King Of The Road",John Gavin,1911
14,The Mystery Of A Hansom Cab,W. J. Lincoln,1911
15,"Captain Starlight, Or Gentleman Of The Road",Alfred Rolfe,1911
16,A Tale Of The Australian Bush,Gaston Mervale,1911
16,"Ben Hall, The Notorious Bushranger",Gaston Mervale,1911
17,The Luck Of Roaring Camp,W. J. Lincoln,1911
18,The Golden West,George Young,1911
19,"A Bushranger's Ransom, Or A Ride For A Life",E. J. Cole,1911
20,The Assigned Servant,John Gavin,1911
21,Three Strings To Her Bow,George Young,1911
22,Called Back,W. J. Lincoln,1911
23,The Squatter's Son,E. J. Cole,1911
24,The Fatal Wedding,Raymond Longford,1911
25,Keane Of Kalgoorlie,John Gavin,1911
26,One Hundred Years Ago,Gaston Mervale,1911
27,"The Five Of Hearts, Or Buffalo Bill's Love Story",E. J. Cole,1911
27,A Maiden's Distress,E. J. Cole,1911
28,The Lost Chord,W. J. Lincoln,1911
29,Dan Morgan,,1911
30,Sentenced For Life,E. J. Cole,1911
31,The Life Of Rufus Dawes,Alfred Rolfe,1911
32,A Ticket In Tatts,Gaston Mervale,1911
33,Attack On The Gold Escort,,1911
34,The Miner's Daughter,,1911
35,In The Days Of 49,,1911
36,"Moora Neya, Or The Message Of The Spear",Alfred Rolfe,1911
37,The Mark Of The Lash,John Gavin,1911
38,The Drover's Sweetheart,John Gavin,1911
39,The Romantic Story Of Margaret Catchpole,Raymond Longford,1911
40,Only A Factory Girl,,1911
41,The Squatter And The Clown,,1911
42,The Sundowner,E. J. Cole,1911
43,The Lady Outlaw,Alfred Rolfe,1911
44,In The Nick Of Time,Alfred Rolfe,1911
45,Mates Of The Murrumbidgee,Alfred Rolfe,1911
46,The Colleen Bawn,Gaston Mervale,1911
47,Way Outback,Alfred Rolfe,1911
48,What Women Suffer,Alfred Rolfe,1911
49,The Bells,W. J. Lincoln,1911
50,"All For Gold, Or Jumping The Claim",Franklyn Barrett,1911
51,Assigned To His Wife,John Gavin,1911
52,The Double Event,W. J. Lincoln,1911
53,The Girl From Outback,,1911
54,The Cup Winner,Alfred Rolfe,1911
55,"Caloola, Or The Adventures Of A Jackeroo",Alfred Rolfe,1911
56,Driving A Girl To Destruction,George Marlow,1911
57,The Christian,Franklyn Barrett,1911
58,Sweet Nell Of Old Drury,Raymond Longford,1911
59,Gambler's Gold,George Young,1911
60,The Miner's Curse,Alfred Rolfe,1911
61,King Of The Coiners,Alfred Rolfe,1912
62,Do Men Love Women?,Alfred Rolfe,1912
63,The Sin Of A Woman,Alfred Rolfe,1912
64,Angel Of His Dreams,George Marlow,1912
65,The Strangler's Grip,,1912
66,Hands Across The Sea,Gaston Mervale,1912
67,A Daughter Of Australia,Gaston Mervale,1912
68,The Crime And The Criminal,Alfred Rolfe,1912
69,The Octoroon,George Young,1912
70,Cooee And The Echo,Alfred Rolfe,1912
71,Breaking The News,W. J. Lincoln,1912
72,The Mystery Of The Black Pearl,,1912
72,The Black Pearl Mystery,,1912
73,"Conn, The Shaughraun",Gaston Mervale,1912
74,Strike,George Young,1912
75,The Love Tyrant,Alfred Rolfe,1912
75,"Love, The Tyrant",Alfred Rolfe,1912
76,Rip Van Winkle,W. J. Lincoln,1912
77,The Eleventh Hour,,1912
78,The Tide Of Death,Raymond Longford,1912
79,The Cheat,Alfred Rolfe,1912
80,Percy Gets A Job,,1912
81,The Bushman's Bride,,1912
82,A Silent Witness,Franklyn Barrett,1912
83,Won On The Post,Alfred Rolfe,1912
84,"The Wreck Of The Dunbar, Or The Yeoman's Wedding",Gaston Mervale,1912
85,Whose Was The Hand?,Alfred Rolfe,1912
86,"Moira, Or The Mystery Of The Bush",Alfred Rolfe,1912
87,The Ticket Of Leave Man,Gaston Mervale,1912
88,The Midnight Wedding,Raymond Longford,1912
89,Call Of The Bush,,1912
90,"The Life Story Of John Lee, Or The Man They Could Not Hang",Robert Scott,1912
91,The Opium Runners,,1913
92,A Melbourne Mystery,,1913
93,Australia Calls,Raymond Longford,1913
94,A Blue Gum Romance,Franklyn Barrett,1913
95,The Life Of A Jackeroo,Franklyn Barrett,1913
96,The Bondage Of The Bush,Charles Woods,1913
97,Pommy Arrives In Australia,Raymond Longford,1913
98,The Sick Stockrider,W. J. Lincoln,1913
99,Moondyne,W. J. Lincoln,1913
100,The Remittance Man,W. J. Lincoln,1913
