dir_id,dir_lab,film_id,film_lab,cand_id,cand_lab,cand_score,cand_film_id,cand_film_lab,score
Q669,Robin Copping,Q427,Alvin Rides Again,Q112263,Colin Ross,61,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q633377,Robin Irvine,64,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q5981238,Ian Colin,64,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q7342861,Robert Chapin,62,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q279382,Dany Robin,61,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q1108465,Colin Gordon,64,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q354264,John Robinson,62,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q3263894,Louison Roblin,67,Q3235991,Vacanciers,44
Q669,Robin Copping,Q427,Alvin Rides Again,Q12726949,Dorin Dron,61,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q1251845,Doug Robinson,62,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q385803,Robin Hill,61,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q275316,Robin Mattson,62,Q5032141,Candy Stripe Nurses,44
Q669,Robin Copping,Q427,Alvin Rides Again,Q2521994,Romain Deconinck,62,Q3134763,Het Dwaallicht,39
Q669,Robin Copping,Q427,Alvin Rides Again,Q7352335,Robin Copping,100,Q4738206,Alvin Rides Again,100
Q669,Robin Copping,Q427,Alvin Rides Again,Q3182376,John Robins,67,Q7716889,Best of Benny Hill,29
Q669,Robin Copping,Q427,Alvin Rides Again,Q245808,Roman Coppola,62,Q184768,Naşul: Partea a II-a,50
Q669,Robin Copping,Q427,Alvin Rides Again,Q7352596,Robin Kohn,70,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q3591442,Érik Colin,64,Q3029752,Dis-moi que tu m'aimes,36
Q669,Robin Copping,Q427,Alvin Rides Again,Q16202649,Robin Chapman,69,Q26196764,Lost Hearts,29
Q669,Robin Copping,Q427,Alvin Rides Again,Q503966,Rob Cohen,64,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q3418533,Ramon Pipin,67,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q7356152,Rod Colbin,61,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q262495,Robin Givens,64,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q188482,Robin Gibb,61,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q7859979,Tyler Coppin,64,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q2159896,Robin Renucci,62,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q653724,Romain Goupil,62,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q2020510,Oliver Robins,62,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q1818918,Leon Robinson,62,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q469827,Robin Curtis,64,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q7352576,Robin Johnson,62,,,0
Q669,Robin Copping,Q427,Alvin Rides Again,Q913003,Brian Robbins,62,,,0
