wikibase,wikidata
Q690,Q7815438
Q684,Q7678712
Q653,Q55424
Q647,Q7172711
Q519,Q449220
Q518,Q913154
Q530,Q51624648
Q524,Q453792
Q646,Q7154855
Q652,Q7175721
Q685,Q725520
Q691,Q7816324
Q493,Q4647281
Q644,Q237268
Q678,Q951522
Q526,Q5080538
Q527,Q2960286
Q533,Q5112358
Q651,Q28077981
Q692,Q52411
Q686,Q7704133
Q494,Q43901468
Q682,Q7610796
Q696,Q3564549
Q669,Q7352335
Q655,Q2086305
Q522,Q5056131
Q536,Q2982591
Q640,Q3343763
Q495,Q1449546
Q681,Q73136
Q656,Q6304164
Q642,Q7117020
Q520,Q1018614
Q534,Q2975559
Q535,Q5128834
Q643,Q7143507
Q657,Q3130016
Q630,Q6816554
Q624,Q3837650
Q585,Q6103892
Q546,Q5294199
Q553,Q5387293
Q547,Q5315730
Q584,Q5993122
Q619,Q1804597
Q625,Q43129814
Q631,Q6820930
Q627,Q708343
Q633,Q17635072
Q592,Q1689216
Q586,Q6105488
Q551,Q5335962
Q545,Q675977
Q579,Q5675105
Q578,Q1637771
Q550,Q524386
Q632,Q55234
Q622,Q285928
Q636,Q6904815
Q597,Q6234993
Q554,Q743866
Q540,Q5231407
Q541,Q24191411
Q569,Q5538457
Q596,Q358804
Q637,Q51541
Q623,Q6685026
Q635,Q1237389
Q621,Q199327
Q580,Q5715671
Q594,Q6220063
Q556,Q5424085
Q595,Q6227202
Q634,Q6834878
Q611,Q3195038
Q639,Q7047118
Q598,Q15458128
Q573,Q5549357
Q572,Q5546611
Q566,Q3758734
Q638,Q16104830
Q604,Q20739634
Q610,Q1738601
Q606,Q6375547
Q612,Q6389885
Q570,Q5542148
Q564,Q5525722
Q559,Q958587
Q571,Q5546394
Q603,Q6255888
Q549,Q5321938
Q575,Q5563487
Q561,Q153527
Q560,Q5492176
Q574,Q438911
Q616,Q3228926
Q602,Q3182311
Q628,Q543779
Q600,Q3182039
Q589,Q6134610
Q562,Q703727
Q577,Q5672514
Q563,Q55420
Q588,Q3157245
Q615,Q6504975
Q629,Q6777645
Q699,Q2477748
Q672,Q7372730
Q504,Q4798890
Q510,Q4877593
Q505,Q4799064
Q673,Q84217
Q698,Q18632093
Q498,Q4723361
Q665,Q20984502
Q671,Q7369286
Q507,Q4800571
Q506,Q4800277
Q512,Q22277550
Q704,Q945227
Q658,Q543563
Q664,Q726445
Q660,Q2129634
Q674,Q7380315
Q700,Q3568632
Q516,Q4964286
Q675,Q7381540
Q677,Q7417274
Q663,Q3421009
Q703,Q54855
Q529,Q5083707
Q501,Q4777214
Q515,Q2408644
Q500,Q4772881
Q528,Q5083137
Q662,Q7288095
Q689,Q7803256
Q403,Q7754723
Q431,Q7249802
Q481,Q6296331
Q240,Q7744230
