wikidata,label
Q20649328,"Soldiers of the Cross (Joseph Perry, 1900)"
Q1212945,"The Story of the Kelly Gang (Charles Tait/Millard Johnson/William Gibson, 1906)"
Q5411237,"Eureka Stockade (Arthur Cornwall/George Cornwell, 1907)"
Q7340830,"Robbery Under Arms (Charles MacMahon, 1907)"
Q5467143,"For the Term of His Natural Life (Charles MacMahon, 1908)"
Q7747142,"The Life and Adventures of John Vane, the Notorious Australian Bushranger (1910)"
Q7766106,"The Squatter's Daughter (Bert Bailey, 1910)"
Q7799108,"Thunderbolt (John Gavin, 1910)"
Q15039601,"Moonlite (John Gavin, 1910)"
Q6091844,"It Is Never Too Late to Mend (W. J. Lincoln, 1911)"
Q4885775,"Ben Hall and his Gang (John Gavin, 1911)"
Q5036733,"Captain Midnight, the Bush King (Alfred Rolfe, 1911)"
Q5486791,"Frank Gardiner, the King of the Road (John Gavin, 1911)"
Q15039603,"The Mystery of a Hansom Cab (W. J. Lincoln, 1914)"
Q5036807,"Captain Starlight, or Gentleman of the Road (Alfred Rolfe, 1911)"
Q3602786,"A Tale of the Australian Bush (Gaston Mervale, 1911)"
Q15039597,"The Luck of Roaring Camp (W. J. Lincoln, 1911)"
Q7737123,"The Golden West (George Young, 1911)"
Q5001566,"Bushranger's Ransom, or A Ride for Life (E. J. Cole, 1911)"
Q7714712,"The Assigned Servant (John Gavin, 1911)"
Q7797855,"Three Strings to Her Bow (George Young, 1911)"
Q5021873,"Called Back (W. J. Lincoln, 1911)"
Q7766108,"The Squatter's Son (E. J. Cole, 1911)"
Q7733529,"The Fatal Wedding (Raymond Longford, 1911)"
Q15039593,"Keane of Kalgoorlie (John Gavin, 1911)"
Q3882498,"One Hundred Years Ago (Gaston Mervale, 1911)"
Q7734297,"The Five of Hearts (E. J. Cole, 1911)"
Q7748580,"The Lost Chord (W. J. Lincoln, 1911)"
Q5214050,"Dan Morgan (Alfred Rolfe, 1911)"
Q7451202,"Sentenced for Life (E. J. Cole, 1911)"
Q15039595,"The Life of Rufus Dawes (Alfred Rolfe, 1911)"
Q3602796,"A Ticket in Tatts (Gaston Mervale, 1911)"
Q18708895,Attack on the Gold Escort (1911)
Q117457099,The Miner's Daughter
Q3797421,"In the Days of '49 (D. W. Griffith, 1911)"
Q6908063,"Moora Neya, or The Message of the Spear (Alfred Rolfe, 1911)"
Q7750366,"The Mark of the Lash (John Gavin, 1911)"
Q7731061,"The Drover's Sweetheart (John Gavin, 1911)"
Q7761427,"The Romantic Story of Margaret Catchpole (Raymond Longford, 1911)"
Q20002334,Only a Factory Girl (1911)
Q18709080,"The Squatter and the Clown (E. J. Cole, 1911)"
Q7767404,"The Sundowner (E. J. Cole, 1911)"
Q7745142,"The Lady Outlaw (Alfred Rolfe, 1911)"
Q15039592,"In the Nick of Time (Alfred Rolfe, 1911)"
Q6786661,"Mates of the Murrumbidgee (Alfred Rolfe, 1911)"
Q3986351,"The Colleen Bawn (Gaston Mervale, 1911)"
Q7975793,"Way Outback (Alfred Rolfe, 1911)"
Q7991439,"What Women Suffer (Alfred Rolfe, 1911)"
Q7716442,"The Bells (W. J. Lincoln, 1911)"
Q4729949,"All for Gold, or Jumping the Claim (Franklyn Barrett, 1911)"
Q4808851,"Assigned to his Wife (John Gavin, 1911)"
Q7730734,"The Double Event (W. J. Lincoln, 1911)"
Q17056382,The Girl from Outback (1911)
Q7728410,"The Cup Winner (Alfred Rolfe, 1911)"
Q5023176,"Caloola, or The Adventures of a Jackeroo (Alfred Rolfe, 1911)"
Q5308076,"Driving a Girl to Destruction (George Marlow, 1911)"
Q7722714,"The Christian (Franklyn Barrett/Roy Redgrave, 1911)"
Q7655431,"Sweet Nell of Old Drury (Raymond Longford, 1911)"
Q5519668,"Gambler's Gold (George Young, 1911)"
Q7751549,"The Miner's Curse (Alfred Rolfe, 1911)"
Q6412331,"King of the Coiners (Alfred Rolfe, 1912)"
Q5286136,"Do Men Love Women? (Alfred Rolfe, 1912)"
Q7764377,"The Sin of a Woman (Alfred Rolfe, 1912)"
Q4762335,"Angel of his Dreams (George Marlow, 1912)"
Q7766963,The Strangler's Grip (1912)
Q3783012,"Hands Across the Sea (Gaston Mervale, 1912)"
Q3602421,"A Daughter of Australia (Gaston Mervale, 1912)"
Q7728064,"The Crime and the Criminal (Alfred Rolfe, 1912)"
Q7754682,"The Octoroon (George Young, 1912)"
Q5166839,"Cooee and the Echo (Alfred Rolfe, 1912)"
Q15039589,"Breaking the News (W. J. Lincoln, 1912)"
Q7752902,"The Mystery of the Black Pearl (Franklyn Barrett, 1912)"
Q5161258,"Conn, the Shaughraun (Gaston Mervale, 1912)"
Q7623764,"Strike (George Young, 1912)"
Q7748987,"The Love Tyrant (Alfred Rolfe, 1912)"
Q7335543,"Rip Van Winkle (W. J. Lincoln, 1912)"
Q7731783,"The Eleventh Hour (Franklyn Barrett, 1912)"
Q7769215,"The Tide of Death (Raymond Longford, 1912)"
Q7722263,"The Cheat (Alfred Rolfe, 1912)"
Q17021247,Percy Gets a Job (1912)
Q20649640,The Bushman's Bride (1912)
Q4659518,"A Silent Witness (Franklyn Barrett, 1912)"
Q8031696,"Won on the Post (Alfred Rolfe, 1912)"
Q3990118,"The Wreck of the Dunbar or The Yeoman's Wedding (Gaston Mervale, 1912)"
Q7997675,"Whose Was the Hand? (Alfred Rolfe, 1912)"
Q7751906,"The Moira, or Mystery of the Bush (Alfred Rolfe, 1912)"
Q3989638,"The Ticket of Leave Man (Gaston Mervale, 1912)"
Q7751333,"The Midnight Wedding (Raymond Longford, 1912)"
Q5021642,Call of the Bush (1912)
Q15039596,"The Life Story of John Lee, or The Man They Could Not Hang (Robert Scott, 1911)"
Q20649859,The Opium Runners (1913)
Q4658192,A Melbourne Mystery (1913)
Q4823565,"Australia Calls (Raymond Longford, 1913)"
Q4655524,"A Blue Gum Romance (Franklyn Barrett, 1913)"
Q7747217,"The Life of a Jackeroo (Franklyn Barrett, 1913)"
Q7719094,"The Bondage of the Bush (Charles Woods, 1913)"
Q7227355,"Pommy Arrives in Australia (Raymond Longford, 1913)"
Q7764090,"The Sick Stockrider (Godfrey Cass/W. J. Lincoln, 1913)"
Q6907722,"Moondyne (W. J. Lincoln, 1913)"
Q7760148,"The Remittance Man (W. J. Lincoln, 1913)"
Q7835300,"Transported (W. J. Lincoln, 1913)"
Q7761145,"The Road to Ruin (W. J. Lincoln, 1913)"
Q7760227,"The Reprieve (W. J. Lincoln, 1913)"
Q7728109,"The Crisis (W. J. Lincoln, 1913)"
Q7776268,"The Wreck (W. J. Lincoln, 1913)"
Q7439874,"Sea Dogs of Australia (Martyn Keith, 1913)"
Q4540499,"'Neath Austral Skies (Raymond Longford, 1913)"
Q7763777,"The Shepherd of the Southern Cross (Alexander Butler, 1914)"
Q7764194,"The Silence of Dean Maitland (Raymond Longford, 1914)"
Q4657909,"A Long, Long Way to Tipperary (George Dean, 1914)"
Q7729142,"The Day (Alfred Rolfe, 1914)"
Q7767432,"The Sunny South or The Whirlwind of Fate (Alfred Rolfe, 1915)"
Q117457091,My Partner
Q7759738,"The Rebel (J. E. Mathews, 1915)"
Q7739495,"The Hero of the Dardanelles (Alfred Rolfe, 1915)"
Q13422558,"Within Our Gates (Frank Harvey, 1915)"
Q7749124,"The Loyal Rebel (Alfred Rolfe, 1915)"
Q5466672,"For Australia (Monte Luke, 1915)"
Q5918188,"How We Beat the Emden (Alfred Rolfe, 1915)"
Q4658119,"A Maori Maid's Love (Raymond Longford, 1916)"
Q8028194,"Within the Law (Monte Luke, 1916)"
Q151588,"Get-Rich-Quick Wallingford (Fred Niblo/W. J. Lincoln, 1916)"
Q7750470,"The Martyrdom of Nurse Cavell (John Gavin, 1916)"
Q7070190,"Nurse Cavell (W. J. Lincoln, 1916)"
Q7079442,"Officer 666 (Fred Niblo, 1916)"
Q15039606,"La Revanche (W. J. Lincoln, 1916)"
Q15039602,"Murphy of Anzac (J. E. Mathews, 1916)"
Q7743312,"The Joan of Arc of Loos (George Willoughby, 1916)"
Q6012411,"In the Last Stride (Martyn Keith, 1916)"
Q7457302,"Seven Keys to Baldpate (Monte Luke, 1916)"
Q5991074,"If the Huns Came to Melbourne (George Coates, 1916)"
Q7775547,"The Woman in the Case (George Willoughby, 1916)"
Q10381639,"The Mutiny of the Bounty (Raymond Longford, 1916)"
Q7747107,"The Life's Romance of Adam Lindsay Gordon (W. J. Lincoln, 1916)"
Q7757231,"The Pioneers (Franklyn Barrett, 1916)"
Q7312069,"Remorse, a Story of the Red Plague (J. E. Mathews, 1917)"
Q7752674,"The Murder of Captain Fryatt (John Gavin, 1917)"
Q7110641,"Our Friends, the Hayseeds (Beaumont Smith, 1917)"
Q4823511,"Australia's Peril (Franklyn Barrett, 1917)"
Q7739087,"The Hayseeds Come to Sydney (Beaumont Smith, 1917)"
Q7752031,"The Monk and the Woman (Franklyn Barrett, 1917)"
Q7722865,"The Church and the Woman (Raymond Longford, 1917)"
Q7739085,"The Hayseeds' Back-blocks Show (Beaumont Smith, 1917)"
Q4656099,"A Coo-ee from Home (Charles Woods, 1918)"
Q7739086,"The Hayseeds' Melbourne Cup (Beaumont Smith, 1918)"
Q5771948,"His Convict Bride (John Gavin, 1918)"
Q7746352,The Laugh on Dad (1918)
Q15039590,The Enemy Within (1918)
Q15039609,"The Woman Suffers (Raymond Longford, 1918)"
Q15039610,"Yachts and Hearts, or The Opium Smugglers (1918)"
Q15039608,"The Waybacks (Arthur W. Sterry, 1918)"
Q5772164,His Only Chance (1918)
Q5194504,"Cupid Camouflaged (Alfred Rolfe, 1918)"
Q7425905,"Satan in Sydney (Beaumont Smith, 1918)"
Q6316299,"Just Peggy (J.A. Lipman, 1918)"
Q4724215,Algie's Romance (1918)
Q4659263,A Romance of Burke and Wills Expedition of 1860 (1918)
Q7749194,"The Lure of the Bush (Claude Flemming, 1918)"
Q7430526,Scars of Love (1918)
Q7991121,What Happened to Jean (1918)
Q8084057,"£500 Reward (Claude Flemming, 1918)"
Q4823509,Australia's Own (1919)
Q5263931,"Desert Gold (Beaumont Smith, 1919)"
Q5288109,Does the Jazz Lead to Destruction (1919)
Q4864065,"Barry Butts In (Beaumont Smith, 1919)"
Q3989208,"The Sentimental Bloke (Raymond Longford, 1919)"
Q7624973,"Struck Oil (Franklyn Barrett, 1919)"
Q7733022,"The Face at the Window (Charles Villiers, 1919)"
Q7750037,"The Man from Kangaroo (Wilfred Lucas, 1920)"
Q3764507,"Ginger Mick (Raymond Longford, 1920)"
Q15039594,"The Kelly Gang (Harry Southwell, 1920)"
Q7763563,"The Shadow of Lightning Ridge (Wilfred Lucas, 1921)"
Q7719923,"The Breaking of the Drought (Franklyn Barrett, 1920)"
Q7091100,"On Our Selection (Raymond Longford, 1920)"
Q7750059,"The Man from Snowy River (Beaumont Smith, 1920)"
Q7340828,"Robbery Under Arms (Kenneth Brampton, 1920)"
Q7742854,"The Jackeroo of Coolabong (Wilfred Lucas, 1920)"
Q7740276,"The Hordern Mystery (Harry Southwell, 1920)"
Q7233444,"Possum Paddock (Charles Villiers/Kate Howarde, 1921)"
Q7515270,"Silks and Saddles (John K. Wells, 1921)"
Q16953737,"The Betrayer (Beaumont Smith, 1921)"
Q4657048,"A Girl of the Bush (Franklyn Barrett, 1921)"
Q7376827,"Rudd's New Selection (Raymond Longford, 1921)"
Q7738566,"The Guyra Ghost Mystery (John Cosgrove, 1921)"
Q6786365,"Mated in the Wilds (P.J. Ramster, 1921)"
Q7993637,"While the Billy Boils (Beaumont Smith, 1921)"
Q6423167,"Know Thy Child (Franklyn Barrett, 1921)"
Q7316938,Retribution (1921)
Q7718807,"The Blue Mountains Mystery (Lottie Lyell/Raymond Longford, 1921)"
Q7747138,"The Life Story of John Lee, or The Man They Could Not Hang (Arthur W. Sterry, 1921)"
Q7736132,"The Gentleman Bushranger (Beaumont Smith, 1922)"
Q5121763,"Circumstance (Lawson Harris, 1922)"
Q7770288,"The Triumph of Love (P.J. Ramster, 1922)"
Q4659285,"A Rough Passage (Franklyn Barrett, 1922)"
Q4656275,"A Daughter of Australia (Lawson Harris, 1922)"
Q5328902,"East Lynne (Charles Hardy, 1922)"
Q7641562,"Sunshine Sally (Lawson Harris, 1922)"
Q7749197,"The Lust for Gold (Roy Darling, 1922)"
Q7730217,"The Dinkum Bloke (Lottie Lyell/Raymond Longford, 1923)"
Q7730210,"The Dingo (Kenneth Brampton, 1923)"
Q7770885,The Twins (1923)
Q7830132,"Townies and Hayseeds (Beaumont Smith, 1923)"
Q7992991,"When the Kellys Were Out (Harry Southwell, 1923)"
Q7502679,"Should a Doctor Tell? (Alexander Butler/P.J. Ramster, 1923)"
Q4823566,"Australia Calls (Raymond Longford, 1923)"
Q7239930,"Prehistoric Hayseeds (Beaumont Smith, 1923)"
Q7730168,"The Digger Earl (Beaumont Smith, 1924)"
Q5297296,"Dope (Dunstan Webb, 1924)"
Q6208254,"Joe (Beaumont Smith, 1924)"
Q5227922,"Daughter of the East (Roy Darling, 1924)"
Q5454722,"Fisher's Ghost (Raymond Longford, 1924)"
Q7758123,"The Price (Dunstan Webb, 1924)"
Q7760482,"The Rev. Dell's Secret (P.J. Ramster, 1924)"
Q5917986,"How McDougall Topped the Score (Victor Upton-Brown, 1924)"
Q5936100,"Hullo Marmaduke (Beaumont Smith, 1924)"
Q7752899,"The Mystery of a Hansom Cab (Arthur Shirley, 1925)"
Q7125003,Painted Daughters (1925)
Q7712490,"The Adventures of Algy (Beaumont Smith, 1924)"
Q7720732,"The Bushwhackers (Raymond Longford, 1925)"
Q7796847,Those Terrible Twins (1925)
Q4795621,"Around the Boree Log (Phil K. Walsh, 1925)"
Q6189574,"Jewelled Nights (Louise Lovely, 1925)"
Q7752407,"The Moth of Moonbi (Charles Chauvel, 1926)"
Q7768481,The Tenth Straw (1926)
Q7659804,Sydney's Darlings (1926)
Q7177495,"Peter Vernon's Silence (Raymond Longford, 1926)"
Q15039607,"Should a Girl Propose? (P.J. Ramster, 1926)"
Q15039742,"The Jungle Woman (Frank Hurley, 1926)"
Q15039604,"The Pioneers (Raymond Longford, 1926)"
Q7762815,"The Sealed Room (Arthur Shirley, 1926)"
Q7679979,"Tall Timber (Dunstan Webb, 1926)"
Q14156944,"Sunrise (Raymond Longford, 1926)"
Q7740465,"The Hound of the Deep (Frank Hurley, 1926)"
Q5604098,"Greenhide (Charles Chauvel, 1926)"
Q7796876,"Those Who Love (P.J. Ramster/Paulette McDonagh, 1926)"
Q5763506,"Hills of Hate (Raymond Longford, 1926)"
Q5302881,"Down Under (Harry Southwell, 1927)"
Q7744230,"The Kid Stakes (Tal Ordell, 1927)"
Q5467144,"For the Term of His Natural Life (Norman Dawn, 1927)"
Q5381006,"Environment (Gerald M. Hayle, 1927)"
Q7761876,"The Rushing Tide (Gerald M. Hayle, 1927)"
Q7749934,"The Man Who Forgot (A.R. Harwood, 1927)"
Q7751550,"The Miner's Daughter (Leon Forbert, 1927)"
Q7761404,"The Romance of Runnibede (Scott R. Dunlap, 1928)"
Q7763706,The Shattered Illusion (1928)
Q7751005,The Menace (1928)
Q7765936,The Spirit of Gallipoli (1928)
Q7845565,"Trooper O'Brien (John Gavin, 1928)"
Q7712405,"The Adorable Outcast (Norman Dawn, 1928)"
Q5054462,Caught in the Net (1928)
Q7733414,"The Far Paradise (Paulette McDonagh, 1928)"
Q7738274,"The Grey Glove (Dunstan Webb, 1928)"
Q7718132,"The Birth of White Australia (Phil K. Walsh, 1928)"
Q7732846,"The Exploits of the Emden (Ken G. Hall/Louis Ralph, 1928)"
Q3989113,"The Russell Affair (P.J. Ramster, 1928)"
Q7077531,"Odds On (Arthur Higgins, 1928)"
Q7729942,The Devil's Playground (1928)
Q7744639,"The Kingdom of Twilight (Alexander MacDonald, 1929)"
Q7801422,"Tiger Island (Gerald M. Hayle, 1930)"
Q7722268,"The Cheaters (Paulette McDonagh, 1930)"
Q5442455,"Fellers (Arthur Higgins, 1930)"
Q7581550,"Spur of the Moment (A.R. Harwood, 1931)"
Q6083930,"Isle of Intrigue (A.R. Harwood, 1931)"
Q5275641,"Diggers (Francis William Thring, 1931)"
Q7503239,"Showgirl's Luck (Norman Dawn, 1931)"
Q7763311,"The Sentimental Bloke (Francis William Thring, 1932)"
Q7091101,"On Our Selection (Ken G. Hall, 1932)"
Q5772181,"His Royal Highness (Francis William Thring, 1932)"
Q5275649,"Diggers in Blighty (Pat Hanna/Raymond Longford, 1933)"
