wikidata,label
Q20649328,"Soldiers Of The Cross (Perry/Booth, 1900)"
Q1212945,"The Story Of The Kelly Gang (Tait, 1906)"
Q5411237,"Eureka Stockade (Cornwell/Cornwell, 1907)"
Q7340830,"Robbery Under Arms (MacMahon, 1907)"
Q5467143,"For The Term Of His Natural Life (MacMahon, 1908)"
Q7747142,"The Life And Adventures Of John Vane, The Notorious Australian Bushranger (Fitzgerald, 1910)"
Q7766106,"The Squatter's Daughter, Or The Land Of The Wattle (Bailey, 1910)"
Q7799108,"Thunderbolt (Gavin, 1910)"
Q15039601,"Moonlite (Gavin, 1910)"
Q6091844,"It Is Never Too Late To Mend (Lincoln, 1911)"
Q4885775,"Ben Hall And His Gang (Gavin, 1911)"
Q5036733,"Captain Midnight, The Bush King (Rolfe, 1911)"
Q5486791,"Frank Gardiner, The King Of The Road (Gavin, 1911)"
Q15039603,"The Mystery Of A Hansom Cab (Lincoln, 1911)"
Q5036807,"Captain Starlight, Or Gentleman Of The Road (Rolfe, 1911)"
Q3602786,"A Tale Of The Australian Bush (Mervale, 1911)"
Q15039597,"The Luck Of Roaring Camp (Lincoln, 1911)"
Q7737123,"The Golden West (Young, 1911)"
Q5001566,"A Bushranger's Ransom, Or A Ride For A Life (Cole, 1911)"
Q7714712,"The Assigned Servant (Gavin, 1911)"
Q7797855,"Three Strings To Her Bow (Young, 1911)"
Q5021873,"Called Back (Lincoln, 1911)"
Q7766108,"The Squatter's Son (Cole, 1911)"
Q7733529,"The Fatal Wedding (Longford, 1911)"
Q15039593,"Keane Of Kalgoorlie (Gavin, 1911)"
Q3882498,"One Hundred Years Ago (Mervale, 1911)"
Q7734297,"The Five Of Hearts, Or Buffalo Bill's Love Story (Cole, 1911)"
Q7748580,"The Lost Chord (Lincoln, 1911)"
Q5214050,Dan Morgan (1911)
Q7451202,"Sentenced For Life (Cole, 1911)"
Q15039595,"The Life Of Rufus Dawes (Rolfe, 1911)"
Q3602796,"A Ticket In Tatts (Mervale, 1911)"
Q18708895,Attack On The Gold Escort (1911)
Q117457099,The Miner's Daughter (1911)
Q3797421,In The Days Of 49 (1911)
Q6908063,"Moora Neya, Or The Message Of The Spear (Rolfe, 1911)"
Q7750366,"The Mark Of The Lash (Gavin, 1911)"
Q7731061,"The Drover's Sweetheart (Gavin, 1911)"
Q7761427,"The Romantic Story Of Margaret Catchpole (Longford, 1911)"
Q20002334,Only A Factory Girl (1911)
Q18709080,The Squatter And The Clown (1911)
Q7767404,"The Sundowner (Cole, 1911)"
Q7745142,"The Lady Outlaw (Rolfe, 1911)"
Q15039592,"In The Nick Of Time (Rolfe, 1911)"
Q6786661,"Mates Of The Murrumbidgee (Rolfe, 1911)"
Q3986351,"The Colleen Bawn (Mervale, 1911)"
Q7975793,"Way Outback (Rolfe, 1911)"
Q7991439,"What Women Suffer (Rolfe, 1911)"
Q7716442,"The Bells (Lincoln, 1911)"
Q4729949,"All For Gold, Or Jumping The Claim (Barrett, 1911)"
Q4808851,"Assigned To His Wife (Gavin, 1911)"
Q7730734,"The Double Event (Lincoln, 1911)"
Q17056382,The Girl From Outback (1911)
Q7728410,"The Cup Winner (Rolfe, 1911)"
Q5023176,"Caloola, Or The Adventures Of A Jackeroo (Rolfe, 1911)"
Q5308076,"Driving A Girl To Destruction (Marlow, 1911)"
Q7722714,"The Christian (Barrett, 1911)"
Q7655431,"Sweet Nell Of Old Drury (Longford, 1911)"
Q5519668,"Gambler's Gold (Young, 1911)"
Q7751549,"The Miner's Curse (Rolfe, 1911)"
Q6412331,"King Of The Coiners (Rolfe, 1912)"
Q5286136,"Do Men Love Women? (Rolfe, 1912)"
Q7764377,"The Sin Of A Woman (Rolfe, 1912)"
Q4762335,"Angel Of His Dreams (Marlow, 1912)"
Q7766963,The Strangler's Grip (1912)
Q3783012,"Hands Across The Sea (Mervale, 1912)"
Q3602421,"A Daughter Of Australia (Mervale, 1912)"
Q7728064,"The Crime And The Criminal (Rolfe, 1912)"
Q7754682,"The Octoroon (Young, 1912)"
Q5166839,"Cooee And The Echo (Rolfe, 1912)"
Q15039589,"Breaking The News (Lincoln, 1912)"
Q7752902,The Mystery Of The Black Pearl (1912)
Q5161258,"Conn, The Shaughraun (Mervale, 1912)"
Q7623764,"Strike (Young, 1912)"
Q7748987,"The Love Tyrant (Rolfe, 1912)"
Q7335543,"Rip Van Winkle (Lincoln, 1912)"
Q7731783,The Eleventh Hour (1912)
Q7769215,"The Tide Of Death (Longford, 1912)"
Q7722263,"The Cheat (Rolfe, 1912)"
Q17021247,Percy Gets A Job (1912)
Q20649640,The Bushman's Bride (1912)
Q4659518,"A Silent Witness (Barrett, 1912)"
Q8031696,"Won On The Post (Rolfe, 1912)"
Q3990118,"The Wreck Of The Dunbar, Or The Yeoman's Wedding (Mervale, 1912)"
Q7997675,"Whose Was The Hand? (Rolfe, 1912)"
Q7751906,"Moira, Or The Mystery Of The Bush (Rolfe, 1912)"
Q3989638,"The Ticket Of Leave Man (Mervale, 1912)"
Q7751333,"The Midnight Wedding (Longford, 1912)"
Q5021642,Call Of The Bush (1912)
Q15039596,"The Life Story Of John Lee, Or The Man They Could Not Hang (Scott, 1912)"
Q20649859,The Opium Runners (1913)
Q4658192,A Melbourne Mystery (1913)
Q4823565,"Australia Calls (Longford, 1913)"
Q4655524,"A Blue Gum Romance (Barrett, 1913)"
Q7747217,"The Life Of A Jackeroo (Barrett, 1913)"
Q7719094,"The Bondage Of The Bush (Woods, 1913)"
Q7227355,"Pommy Arrives In Australia (Longford, 1913)"
Q7764090,"The Sick Stockrider (Lincoln, 1913)"
Q6907722,"Moondyne (Lincoln, 1913)"
Q7760148,"The Remittance Man (Lincoln, 1913)"
Q7835300,"Transported (Lincoln, 1913)"
Q7761145,"The Road To Ruin (Lincoln, 1913)"
Q7760227,"The Reprieve (Lincoln, 1913)"
Q7728109,"The Crisis (Lincoln, 1913)"
Q7776268,"The Wreck (Lincoln, 1913)"
Q7439874,"Sea Dogs Of Australia (Keith, 1913)"
Q4540499,"'Neath Austral Skies (Longford, 1913)"
Q7763777,"The Shepherd Of The Southern Cross (Butler, 1914)"
Q7764194,"The Silence Of Dean Maitland (Longford, 1914)"
Q4657909,"A Long, Long Way To Tipperary (Dean, 1914)"
Q7729142,"The Day (Rolfe, 1914)"
Q7767432,"The Sunny South, Or The Whirlwind Of Fate (Rolfe, 1915)"
Q117457091,My Partner (1915)
Q7759738,"The Rebel (Mathews, 1915)"
Q7739495,"The Hero Of The Dardanelles (Rolfe, 1915)"
Q13422558,"Within Our Gates, Or Deeds That Won Gallipoli (Harvey, 1915)"
Q7749124,"The Loyal Rebel (Rolfe, 1915)"
Q5466672,"For Australia (Luke, 1915)"
